Datum,Jaar,Maand,Dag,Staatshoofd,WindrVec,WindrCat9,WindrCat5,Windsnelh,WindsnelhGem,WindsnelhMax,WindsnelhMaxUur,WindsnelhMin,WindsnelhMinUur,Windstoot,WindstootUur,TempGem,TempMin,TempMinUur,TempMax,TempMaxUur,Zonneschijn,ZonneschijnPerc,Straling,NeerslagDuur,RegenHoeveelh,RegenHoeveelhMax,LuchtdrukGem,LuchtdrukMax,LuchtdrukMin,ZichtMin,ZichtMinCat85,ZichtMinCat5,ZichtMinUur,ZichtMax,ZichtMaxCat85,ZichtMaxCat5,ZichtMaxUur,BewolkingGem,VochtighGem,VochtighMax,VochtighMaxUur,VochtighMin,VochtighMinUur,Verdamping
30-4-1910,1910,4,30,Wilhelmina,328,NW,N,5.1,5.1,8.2,11,2.1,21,,,6.5,1.1,,11.3,,9.2,62,,,0,0,1022.5,1024.4,1018.6,,,,,,,,,,74,,,,,
31-8-1910,1910,8,31,Wilhelmina,253,W,W,3.6,3.6,6.7,15,2.1,20,,,14.5,9.6,,18.5,,6,44,,,1.5,1.4,1022.8,1024.8,1019,,,,,,,,,,81,,,,,
27-4-1911,1911,4,27,Wilhelmina,229,ZW,W,7.2,7.7,9.3,11,5.1,9,,,7.7,5.1,,11,,0,0,,,8.4,2.3,1002,1010.6,994.2,,,,,,,,,,93,,,,,
30-4-1911,1911,4,30,Wilhelmina,282,W,W,4.6,6.2,8.2,17,4.6,6,,,8.2,4.5,,12.6,,4.9,33,,,1.3,0.5,1002.1,1010.2,997.2,,,,,,,,,,85,,,,,
31-8-1911,1911,8,31,Wilhelmina,217,ZW,Z,1,2.6,4.1,10,1,5,,,14.4,5.1,,21.5,,10.2,74,,,0,0,1025.4,1027.2,1023.5,,,,,,,,,,84,,,,,
27-4-1912,1912,4,27,Wilhelmina,42,NO,N,4.1,4.1,7.2,18,3.1,3,,,9.7,2.3,,16.1,,12.7,87,,,0,0,1011,1012.3,1009.9,,,,,,,,,,68,,,,,
30-4-1912,1912,4,30,Wilhelmina,23,NO,N,4.6,4.6,7.2,17,1.5,21,,,8,3.2,,12.2,,8.4,57,,,0,0,1023.3,1024.8,1020.6,,,,,,,,,,67,,,,,
31-8-1912,1912,8,31,Wilhelmina,308,NW,W,3.1,3.6,7.2,12,0,20,,,13,7.6,,17.3,,8.8,64,,,0,0,1017.4,1020.6,1011.2,,,,,,,,,,83,,,,,
27-4-1913,1913,4,27,Wilhelmina,170,Z,Z,5.7,5.7,8.7,15,2.6,20,,,15.6,7.8,,22.9,,11.4,78,,,0,0,1005.4,1007.6,1003.8,,,,,,,,,,65,,,,,
30-4-1913,1913,4,30,Wilhelmina,352,N,N,1,5.1,7.7,24,2.6,12,,,16.6,10.6,,23,,9.9,67,,,0,0,1010.7,1011.9,1009.5,,,,,,,,,,79,,,,,
31-8-1913,1913,8,31,Wilhelmina,136,ZO,Z,3.6,3.6,5.7,9,1,20,,,17.1,13.1,,22.2,,2.7,20,,,0,0,1009.6,1010.7,1008.3,,,,,,,,,,88,,,,,
27-4-1914,1914,4,27,Wilhelmina,10,N,N,2.6,3.1,5.7,16,1,5,,,8.9,-0.3,,15.8,,6.5,44,,,0,0,1032.2,1033.1,1031.1,,,,,,,,,,81,,,,,
30-4-1914,1914,4,30,Wilhelmina,38,NO,N,6.7,7.2,10.3,16,3.1,2,,,9.3,6.6,,13.3,,1.5,10,,,0.4,0.3,1014.3,1016.4,1013.1,,,,,,,,,,81,,,,,
31-8-1914,1914,8,31,Wilhelmina,36,NO,N,3.1,3.6,6.2,15,0.5,1,,,16.7,11.3,,22.1,,1.7,12,,,0,0,1025.8,1028.6,1024.2,,,,,,,,,,89,,,,,
27-4-1915,1915,4,27,Wilhelmina,37,NO,N,5.1,5.7,7.2,1,4.1,19,,,11.8,6.7,,19.1,,7.9,54,,,0,0,1024.1,1025.6,1022.8,,,,,,,,,,76,,,,,
30-4-1915,1915,4,30,Wilhelmina,0,Var,Var,0,2.1,3.6,24,1,8,,,10,4.6,,17.7,,8.7,59,,,0,0,1019,1021.9,1015.6,,,,,,,,,,77,,,,,
31-8-1915,1915,8,31,Wilhelmina,299,NW,W,4.1,4.6,8.2,12,2.1,21,,,12.2,7.2,,17.6,,7.8,57,,,6.3,1.7,1017.5,1019,1015.5,,,,,,,,,,82,,,,,
27-4-1916,1916,4,27,Wilhelmina,121,ZO,O,4.6,5.1,7.7,15,2.6,19,,,16.9,10.2,,23.3,,11,75,,,0,0,1019.9,1020.8,1018.4,,,,,,,,,,56,,,,,
30-4-1916,1916,4,30,Wilhelmina,45,NO,N,4.1,4.6,6.7,11,3.1,5,,,14.9,6.7,,21.6,,13.2,89,,,0,0,1016,1018.3,1013.8,,,,,,,,,,55,,,,,
31-8-1916,1916,8,31,Wilhelmina,283,W,W,4.1,5.1,8.2,1,2.1,19,,,14.6,9.5,,19.4,,10.3,75,,,0,0,1014.9,1018.2,1007.6,,,,,,,,,,70,,,,,
